;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
34;Sébastien Cibois;fr FRA;GK;Brest;fr Ligue 1;22;1998;3;3;270;3.0;1.33;1.33;3.67;2.33;72.7;0.33;0.33;0.33;0.33;33.3;0.33;0.33;0.00;0.00;0.0;Matches;2b9b37b2
35;Alberto Cifuentes;es ESP;GK;Cádiz;es La Liga;41;1979;2;2;180;2.0;1.50;1.50;3.00;1.00;50.0;0.50;0.00;0.50;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;94084f83
36;Jasper Cillessen;nl NED;GK;Valencia;es La Liga;31;1989;10;10;900;10.0;1.10;1.10;4.50;3.30;77.8;0.50;0.10;0.40;0.30;30.0;0.20;0.10;0.10;0.00;50.0;Matches;04ac8285
37;Simone Colombi;it ITA;GK;Parma;it Serie A;29;1991;2;2;180;2.0;3.50;3.50;5.00;1.50;40.0;0.00;0.00;1.00;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;72be9309
38;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;33;1987;37;37;3330;37.0;1.51;1.51;5.00;3.49;71.9;0.46;0.27;0.27;0.19;18.9;0.14;0.11;0.03;0.00;20.0;Matches;8cabdc1e
39;Alex Cordaz;it ITA;GK;Crotone;it Serie A;37;1983;36;36;3240;36.0;2.53;2.53;5.75;3.28;58.5;0.17;0.08;0.75;0.06;5.6;0.14;0.14;0.00;0.00;0.0;Matches;e66ebabb
40;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;36;1983;6;6;540;6.0;1.50;1.50;4.50;3.00;70.4;0.00;0.83;0.17;0.17;16.7;0.17;0.17;0.00;0.00;0.0;Matches;18736214
41;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;33;1987;38;38;3420;38.0;1.47;1.47;4.11;2.63;68.6;0.34;0.16;0.50;0.37;36.8;0.21;0.18;0.03;0.00;12.5;Matches;2434f24a
42;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;28;1992;38;38;3420;38.0;0.74;0.74;3.05;2.32;81.9;0.66;0.24;0.11;0.45;44.7;0.21;0.18;0.03;0.00;12.5;Matches;1840e36d
43;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;26;1994;34;34;3060;34.0;1.56;1.56;5.35;3.79;73.6;0.18;0.29;0.53;0.18;17.6;0.15;0.15;0.00;0.00;0.0;Matches;f554e29b
44;Gian Crespi;it ITA;GK;Crotone;it Serie A;19;2001;1;1;90;1.0;0.00;0.00;1.00;1.00;100.0;0.00;1.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;4dea2f2c
45;Finn Dahmen;de GER;GK;Mainz 05;de Bundesliga;22;1998;3;3;270;3.0;3.33;3.33;6.67;3.33;55.0;0.33;0.00;0.67;0.00;0.0;0.33;0.33;0.00;0.00;0.0;Matches;dee3013b
46;Karl Darlow;eng ENG;GK;Newcastle Utd;eng Premier League;29;1990;25;25;2250;25.0;1.72;1.72;5.04;3.36;68.3;0.28;0.16;0.56;0.16;16.0;0.16;0.12;0.04;0.00;25.0;Matches;cde3309f
47;Yehvann Diouf;fr FRA;GK;Reims;fr Ligue 1;20;1999;2;1;135;1.5;0.67;0.67;4.00;3.33;100.0;0.00;0.00;0.67;0.00;0.0;0.67;0.67;0.00;0.00;0.0;Matches;eedea60b
48;Marko Dmitrovi?;rs SRB;GK;Eibar;es La Liga;28;1992;35;35;3120;34.7;1.41;1.41;3.72;2.28;64.3;0.17;0.32;0.52;0.26;25.7;0.14;0.09;0.03;0.03;25.0;Matches;ac295d9e
49;Jaume Doménech;es ESP;GK;Valencia;es La Liga;29;1990;28;28;2520;28.0;1.50;1.50;4.64;3.14;70.8;0.18;0.43;0.39;0.14;14.3;0.21;0.14;0.07;0.00;33.3;Matches;c9cb972b
50;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;21;1999;37;37;3330;37.0;1.03;1.03;3.41;2.38;71.4;0.65;0.16;0.19;0.38;37.8;0.11;0.05;0.03;0.03;33.3;Matches;08f5afaa
51;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;22;1997;36;36;3148;35.0;1.57;1.57;4.03;2.43;66.7;0.26;0.34;0.43;0.20;19.4;0.29;0.23;0.06;0.00;20.0;Matches;085e71a7
52;Matthieu Dreyer;fr FRA;GK;Lorient;fr Ligue 1;31;1989;15;15;1350;15.0;1.67;1.67;3.73;2.13;66.1;0.33;0.33;0.33;0.13;13.3;0.40;0.40;0.00;0.00;0.0;Matches;fbf83734
53;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;31;1989;13;13;1170;13.0;1.46;1.46;4.77;3.38;71.0;0.38;0.38;0.23;0.23;23.1;0.08;0.08;0.00;0.00;0.0;Matches;3a949a25
54;Ederson;br BRA;GK;Manchester City;eng Premier League;26;1993;36;36;3240;36.0;0.78;0.78;2.58;1.81;77.4;0.69;0.14;0.17;0.53;52.8;0.22;0.19;0.03;0.00;12.5;Matches;3bb7b8b4
55;Aarón Escandell;es ESP;GK;Granada;es La Liga;24;1995;5;5;450;5.0;1.60;1.60;4.80;3.20;66.7;0.20;0.20;0.60;0.20;20.0;0.00;0.00;0.00;0.00;;Matches;67669ce7
56;Jokin Ezkieta;es ESP;GK;Athletic Club;es La Liga;23;1996;1;1;90;1.0;2.00;2.00;3.00;1.00;33.3;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;0f7dbaf6
57;?ukasz Fabia?ski;pl POL;GK;West Ham;eng Premier League;35;1985;35;35;3150;35.0;1.26;1.26;3.94;2.77;70.3;0.49;0.23;0.29;0.29;28.6;0.14;0.09;0.03;0.03;25.0;Matches;9328b835
58;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;31;1988;22;22;1876;20.8;2.40;2.40;6.88;4.52;67.1;0.14;0.14;0.77;0.14;13.6;0.19;0.14;0.05;0.00;25.0;Matches;1e43fad8
59;Wuilker Faríñez;ve VEN;GK;Lens;fr Ligue 1;22;1998;3;1;107;1.2;2.50;2.52;5.83;3.33;71.4;0.00;0.00;0.83;0.00;0.0;0.83;0.83;0.00;0.00;0.0;Matches;2c127b6f
60;Aitor Fernández;es ESP;GK;Levante;es La Liga;29;1991;29;29;2610;29.0;1.52;1.52;4.14;2.69;65.8;0.28;0.38;0.34;0.10;10.3;0.10;0.10;0.00;0.00;0.0;Matches;a01c3d54
61;Álvaro Fernández;es ESP;GK;Huesca;es La Liga;22;1998;22;22;1980;22.0;1.45;1.45;4.32;2.91;68.4;0.23;0.23;0.55;0.23;22.7;0.09;0.09;0.00;0.00;0.0;Matches;f127d782
62;Andrés Fernández;es ESP;GK;Huesca;es La Liga;33;1986;16;16;1440;16.0;1.31;1.31;3.38;2.13;66.7;0.13;0.50;0.38;0.25;25.0;0.19;0.19;0.00;0.00;0.0;Matches;307fcd26
63;Marco Festa;it ITA;GK;Crotone;it Serie A;28;1992;1;1;90;1.0;1.00;1.00;8.00;7.00;87.5;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;c195ae4a
64;Mark Flekken;nl NED;GK;Freiburg;de Bundesliga;27;1993;3;3;270;3.0;2.00;2.00;6.00;4.00;77.8;0.33;0.33;0.33;0.00;0.0;1.00;0.67;0.00;0.33;0.0;Matches;a92ab7be
65;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;32;1988;8;8;720;8.0;1.38;1.37;3.88;2.38;71.0;0.50;0.00;0.50;0.25;25.0;0.38;0.25;0.13;0.00;33.3;Matches;c3e39f12
66;Daniel Fuzato;br BRA;GK;Roma;it Serie A;23;1997;5;5;450;5.0;1.40;1.40;5.20;3.80;73.1;0.40;0.20;0.40;0.40;40.0;0.00;0.00;0.00;0.00;;Matches;82328faf
67;Manuel Gasparini;it ITA;GK;Udinese;it Serie A;18;2002;1;0;3;0.0;0;0.00;0;0;;0;0;0;0;;0;0;0;0;;Matches;7033ca08
68;Paulo Gazzaniga;ar ARG;GK;Elche;es La Liga;28;1992;8;8;720;8.0;1.13;1.13;2.75;1.75;63.6;0.38;0.13;0.50;0.25;25.0;0.13;0.13;0.00;0.00;0.0;Matches;63d17038
69;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;29;1990;26;26;2295;25.5;1.25;1.25;3.53;2.31;68.9;0.47;0.35;0.20;0.35;34.6;0.16;0.16;0.00;0.00;0.0;Matches;7ba6d84e
70;Rafa? Gikiewicz;pl POL;GK;Augsburg;de Bundesliga;32;1987;34;34;3060;34.0;1.59;1.59;5.24;3.71;73.0;0.29;0.18;0.53;0.21;20.6;0.26;0.18;0.03;0.06;14.3;Matches;17376543
71;David Gil;es ESP;GK;Cádiz;es La Liga;26;1994;4;4;360;4.0;2.50;2.50;4.25;1.75;47.1;0.00;0.25;0.75;0.00;0.0;0.25;0.25;0.00;0.00;0.0;Matches;fea23125
72;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;25;1995;25;25;2156;24.0;1.08;1.09;2.71;1.58;66.2;0.58;0.33;0.13;0.38;36.0;0.25;0.17;0.08;0.00;33.3;Matches;f0f7f62f
73;Alfred Gomis;sn SEN;GK;Dijon;fr Ligue 1;26;1993;5;5;450;5.0;2.00;2.00;6.20;4.40;77.4;0.00;0.20;0.80;0.00;0.0;0.60;0.60;0.00;0.00;0.0;Matches;cecbce23
74;Alfred Gomis;sn SEN;GK;Rennes;fr Ligue 1;26;1993;22;22;1980;22.0;1.14;1.14;3.45;2.36;71.1;0.32;0.23;0.45;0.23;22.7;0.18;0.14;0.00;0.05;0.0;Matches;cecbce23
75;Etienne Green;eng ENG;GK;Saint-Étienne;fr Ligue 1;20;2000;8;8;720;8.0;1.00;1.00;3.50;2.38;78.6;0.50;0.13;0.38;0.38;37.5;0.50;0.25;0.13;0.13;33.3;Matches;667b65da
