;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
9;Tammy Abraham;eng ENG;FW;Swansea City;eng Premier League;19;1997;19.2;10.7;16.4;65.6;143.4;29.0;6.41;9.01;71.1;2.92;4.64;62.9;0.52;1.15;45.5;0.05;0.08;0.04;-0.03;0.63;0.83;0.31;0.10;1.04;Matches;f586779e
10;Amir Abrashi;al ALB;MF;Freiburg;de Bundesliga;27;1990;9.4;26.4;34.1;77.3;463.2;119.8;11.0;14.0;78.0;12.3;15.5;79.5;2.55;3.40;75.0;0.00;0.04;0.06;-0.04;0.32;2.34;0.64;0.11;4.04;Matches;1c08a3c8
11;Francesco Acerbi;it ITA;DF;Sassuolo;it Serie A;29;1988;38.0;36.6;43.4;84.3;808.4;273.8;9.18;10.2;90.2;20.6;23.1;89.3;6.55;9.47;69.2;0.00;0.02;0.02;-0.02;0.26;2.79;0.05;0.03;3.71;Matches;b96b595c
12;Afriyie Acquah;gh GHA;MF;Torino;it Serie A;25;1992;10.6;38.2;45.1;84.7;606.7;153.5;19.2;20.8;92.7;15.7;17.8;87.8;2.17;3.77;57.5;0.00;0.06;0.02;-0.06;0.57;3.58;0.19;0.00;5.66;Matches;d7403bd5
13;Charlie Adam;sct SCO;MF;Stoke City;eng Premier League;31;1985;4.6;36.5;62.0;58.9;845.4;327.2;11.1;14.3;77.3;15.7;20.9;75.0;9.78;23.3;42.1;0.00;0.26;0.30;-0.26;1.30;6.09;1.52;0.87;6.52;Matches;aff418dc
14;Antonio Adán;es ESP;GK;Betis;es La Liga;30;1987;30.0;28.9;41.9;69.1;811.7;606.9;4.17;4.17;100.0;14.8;15.4;96.1;9.93;22.1;44.9;0.07;0.02;0.00;0.04;0.13;0.27;0.00;0.00;0.00;Matches;65d62814
15;Aday;es ESP;DF;Girona;es La Liga;29;1987;20.4;36.2;51.3;70.5;616.4;184.1;18.9;22.1;85.8;12.8;17.2;74.6;3.77;9.22;41.0;0.00;0.08;0.11;-0.08;0.98;1.76;1.47;1.08;2.99;Matches;5890cef1
16;Khaled Adénon;bj BEN;DF;Amiens;fr Ligue 1;32;1985;32.5;29.5;35.6;83.0;608.1;247.1;9.51;10.8;87.8;15.1;16.8;89.9;4.58;6.86;66.8;0.03;0.01;0.00;0.02;0.06;1.05;0.06;0.00;1.57;Matches;16714a62
17;Claud Adjapong;it ITA;DFFW;Sassuolo;it Serie A;19;1998;13.6;26.7;37.4;71.3;435.4;170.5;12.3;14.5;84.8;12.2;16.7;73.1;1.54;3.90;39.6;0.00;0.08;0.07;-0.08;0.81;2.06;0.37;0.15;3.09;Matches;ce5b170a
18;René Adler;de GER;GK;Mainz 05;de Bundesliga;32;1985;14.0;20.2;31.6;64.0;654.4;529.6;2.00;2.00;100.0;10.2;10.6;96.6;8.00;18.8;42.6;0.00;0.02;0.00;-0.02;0.07;0.57;0.00;0.00;0.00;Matches;f71890f5
19;Yacine Adli;fr FRA;FW;Paris S-G;fr Ligue 1;17;2000;0.1;70.0;70.0;100.0;1630.0;420.0;40.0;40.0;100.0;10.0;10.0;100.0;20.0;20.0;100.0;0.00;0.00;0.00;0.00;0.00;30.0;0.00;0.00;30.0;Matches;26777636
20;Ali Adnan Kadhim;iq IRQ;DFFW;Udinese;it Serie A;23;1993;18.6;31.5;47.5;66.3;576.6;265.3;13.2;16.4;80.3;13.3;19.2;69.0;4.25;9.19;46.2;0.05;0.09;0.06;-0.04;1.08;2.04;0.75;0.48;3.12;Matches;6050480
21;Adrián;es ESP;GK;West Ham;eng Premier League;30;1987;19.0;14.0;30.1;46.6;620.9;549.4;0.63;0.63;100.0;2.68;2.74;98.1;10.7;26.5;40.4;0.00;0.00;0.01;0.00;0.00;0.68;0.05;0.00;0.00;Matches;f76e6b4e
22;Aritz Aduriz;es ESP;FW;Athletic Club;es La Liga;36;1981;23.9;14.1;21.7;65.1;185.0;39.1;9.12;12.4;73.6;3.60;5.98;60.1;0.50;1.26;40.0;0.04;0.06;0.07;-0.02;0.46;1.72;0.46;0.00;1.88;Matches;2,93E+06
23;Ibrahim Afellay;nl NED;MF;Stoke City;eng Premier League;31;1986;1.8;40.0;45.6;87.8;736.7;142.2;16.1;17.8;90.6;19.4;21.7;89.7;3.33;4.44;75.0;0.00;0.00;0.00;0.00;0.00;3.33;0.00;0.00;2.22;Matches;9a8c6673
24;Benik Afobe;cd COD;FW;Bournemouth;eng Premier League;24;1993;6.8;16.6;22.6;73.4;201.5;22.4;11.3;15.0;75.5;3.97;5.59;71.1;0.00;0.15;0.0;0.00;0.01;0.01;-0.01;0.29;1.18;0.29;0.00;1.32;Matches;b63f4077
25;Martin Agirregabiria;es ESP;DF;Alavés;es La Liga;21;1996;20.3;31.2;43.5;71.7;478.1;233.9;18.0;21.5;83.9;10.2;14.2;71.9;2.32;5.12;45.2;0.20;0.07;0.04;0.12;0.64;2.27;0.59;0.44;2.36;Matches;355c883a
26;Imanol Agirretxe;es ESP;FW;Real Sociedad;es La Liga;30;1987;2.6;14.6;23.1;63.3;187.7;31.2;9.23;12.3;75.0;3.46;6.15;56.3;0.38;1.15;33.3;0.00;0.00;0.00;0.00;0.00;0.38;0.00;0.00;1.92;Matches;c84c1afc
27;Sergio Agüero;ar ARG;FW;Manchester City;eng Premier League;29;1988;21.8;24.3;29.8;81.4;276.1;49.9;16.5;18.6;88.9;4.91;6.42;76.4;0.50;0.60;84.6;0.28;0.26;0.17;0.02;1.83;1.15;1.10;0.00;2.25;Matches;4d034881
28;Ruben Aguilar;fr FRA;DF;Montpellier;fr Ligue 1;24;1993;27.3;43.4;56.6;76.8;626.5;289.3;27.5;30.5;90.3;12.1;17.1;70.5;2.42;5.38;44.9;0.07;0.14;0.09;-0.06;1.32;3.33;1.17;0.77;4.76;Matches;3dd738a1
29;Matías Aguirregaray;uy URU;DF;Las Palmas;es La Liga;28;1989;12.8;40.5;54.5;74.4;643.2;271.1;21.3;23.8;89.5;14.7;20.3;72.3;3.13;7.34;42.6;0.00;0.05;0.10;-0.05;0.39;3.28;1.41;0.39;4.45;Matches;8617e3d9
30;Jean-Eudes Aholou;ci CIV;MF;Strasbourg;fr Ligue 1;23;1994;33.4;34.8;40.7;85.5;626.2;162.3;14.8;16.6;89.2;14.2;15.7;89.9;4.37;5.87;74.5;0.00;0.03;0.02;-0.03;0.39;3.02;0.15;0.00;3.92;Matches;48b28bfd
31;Ailton;br BRA;DFMF;Stuttgart;de Bundesliga;22;1995;1.2;37.5;54.2;69.2;715.0;215.0;17.5;20.0;87.5;13.3;19.2;69.6;5.83;11.7;50.0;0.00;0.08;0.17;-0.08;1.67;1.67;1.67;1.67;3.33;Matches;74ced675
32;Youssef Aït Bennasser;ma MAR;MF;Caen;fr Ligue 1;21;1996;22.7;41.2;50.0;82.5;827.1;258.5;14.9;16.9;88.0;18.5;21.3;87.0;6.74;9.38;71.8;0.00;0.03;0.03;-0.03;0.53;6.52;0.31;0.04;7.84;Matches;c46fa34c
33;Arlind Ajeti;al ALB;DF;Crotone;it Serie A;23;1993;14.1;20.0;25.7;77.9;416.0;192.1;6.31;7.38;85.6;9.93;11.7;84.8;3.62;5.96;60.7;0.07;0.07;0.06;0.00;0.28;1.13;0.07;0.00;1.42;Matches;f9714604
34;Manuel Akanji;ch SUI;DF;Dortmund;de Bundesliga;22;1995;10.0;52.7;61.8;85.3;1005.3;344.3;17.4;19.5;89.2;30.3;33.2;91.3;4.30;7.70;55.8;0.00;0.01;0.05;-0.01;0.10;4.30;0.40;0.00;4.70;Matches;89ac64a6
35;Nathan Aké;nl NED;DF;Bournemouth;eng Premier League;22;1995;37.3;36.0;43.1;83.5;704.9;303.2;11.7;13.7;85.7;19.8;22.3;88.5;4.26;6.43;66.3;0.08;0.05;0.05;0.03;0.24;2.39;0.08;0.00;2.57;Matches;eaeca114
36;Ager Aketxe;es ESP;MF;Athletic Club;es La Liga;23;1993;0.4;80.0;105.0;76.2;1195.0;240.0;45.0;52.5;85.7;22.5;27.5;81.8;7.50;17.5;42.9;0.00;0.00;0.00;0.00;0.00;7.50;0.00;0.00;15.0;Matches;c5eaff5c
37;Chadrac Akolo;cd COD;MFFW;Stuttgart;de Bundesliga;22;1995;12.2;19.4;26.0;74.8;284.5;63.9;10.5;12.2;85.9;6.56;9.10;72.1;1.15;1.97;58.3;0.00;0.08;0.10;-0.08;1.15;1.89;1.23;0.49;2.87;Matches;debc2f28
38;Kevin Akpoguma;ng NGA;DF;Hoffenheim;de Bundesliga;22;1995;18.8;46.6;54.3;85.8;814.9;307.8;19.7;21.3;92.3;23.1;25.0;92.3;3.19;6.76;47.2;0.05;0.07;0.04;-0.02;0.37;3.67;0.21;0.05;4.52;Matches;6ec6fde0
39;David Alaba;at AUT;DF;Bayern Munich;de Bundesliga;25;1992;17.2;65.5;77.8;84.2;1065.8;320.5;31.3;34.0;92.0;29.2;34.2;85.4;3.60;6.16;58.5;0.12;0.13;0.13;-0.02;1.28;5.23;1.34;0.70;6.40;Matches;05439de2
40;Lucas Alario;ar ARG;FW;Leverkusen;de Bundesliga;24;1992;17.2;17.6;23.8;73.9;216.9;36.7;11.9;15.1;78.8;4.07;5.12;79.5;0.47;1.05;44.4;0.23;0.10;0.09;0.13;0.81;1.22;0.35;0.00;1.63;Matches;834d0be5
41;David Alba;es ESP;DF;Getafe;es La Liga;18;1999;0.7;10.0;12.9;77.8;254.3;145.7;2.86;4.29;66.7;4.29;5.71;75.0;2.86;2.86;100.0;0.00;0.00;0.00;0.00;0.00;2.86;0.00;0.00;2.86;Matches;7a4cd784
42;Jordi Alba;es ESP;DF;Barcelona;es La Liga;28;1989;30.5;68.0;79.3;85.8;941.9;292.2;43.3;46.4;93.2;19.6;23.5;83.4;2.98;4.52;65.9;0.26;0.20;0.17;0.06;1.25;3.25;1.28;0.13;4.43;Matches;4,60E+197
43;Raúl Albentosa;es ESP;DF;La Coruña;es La Liga;28;1988;19.4;31.3;39.9;78.3;723.6;284.0;7.01;8.35;84.0;17.2;19.9;86.5;6.96;11.0;63.1;0.00;0.01;0.01;-0.01;0.15;1.44;0.05;0.00;1.39;Matches;348e4809
44;Luis Alberto;es ESP;FWMF;Lazio;it Serie A;24;1992;29.7;45.9;62.6;73.3;752.4;272.4;23.7;27.4;86.7;14.1;18.9;74.7;5.29;10.9;48.3;0.47;0.40;0.35;0.07;3.00;6.77;2.73;0.24;9.16;Matches;5294a83f
45;Raúl Albiol;es ESP;DF;Napoli;it Serie A;31;1985;30.5;73.5;82.3;89.3;1526.5;568.0;23.8;25.4;93.8;34.6;37.8;91.5;13.7;17.0;80.9;0.03;0.04;0.04;-0.01;0.23;6.10;0.13;0.00;7.57;Matches;4bd414c1
46;Miiko Albornoz;cl CHI;DFMF;Hannover 96;de Bundesliga;26;1990;7.8;41.7;54.2;76.8;653.5;306.4;20.3;22.4;90.3;15.6;19.9;78.7;3.46;7.69;45.0;0.00;0.18;0.14;-0.18;1.03;2.18;1.28;1.03;3.21;Matches;d459281d
47;Marc Albrighton;eng ENG;MFFW;Leicester City;eng Premier League;27;1989;28.2;27.3;46.0;59.4;511.3;209.4;12.9;15.5;83.7;9.18;14.5;63.5;4.33;12.0;36.2;0.25;0.20;0.17;0.05;1.63;3.48;1.28;0.67;4.04;Matches;b827d5b3
48;Paco Alcácer;es ESP;MFFW;Barcelona;es La Liga;23;1993;7.7;24.4;30.4;80.3;295.1;54.7;15.1;17.4;86.6;5.97;7.27;82.1;0.65;1.43;45.5;0.39;0.27;0.21;0.12;1.30;0.91;1.04;0.13;1.69;Matches;a7a9d95a
49;Pedro Alcalá;es ESP;DF;Girona;es La Liga;28;1989;7.7;27.0;38.3;70.5;637.0;197.9;6.49;7.66;84.7;14.4;17.4;82.8;5.97;12.1;49.5;0.00;0.03;0.01;-0.03;0.13;3.12;0.13;0.00;3.12;Matches;ba71d071
50;Thiago Alcántara;es ESP;MFFW;Bayern Munich;de Bundesliga;26;1991;13.9;85.4;94.2;90.6;1650.9;440.9;32.7;35.3;92.9;39.9;42.8;93.3;11.4;13.9;82.4;0.14;0.14;0.17;0.01;2.09;12.5;1.22;0.00;13.2;Matches;77e84962
51;David Alcibiade;fr FRA;DF;Nantes;fr Ligue 1;25;1991;2.3;30.0;40.4;74.2;550.0;290.9;11.7;13.0;90.0;13.5;16.5;81.6;3.91;9.57;40.9;0.43;0.17;0.09;0.26;0.87;2.61;0.87;0.43;2.61;Matches;9b8970ce
52;Toby Alderweireld;be BEL;DF;Tottenham;eng Premier League;28;1989;13.1;60.5;71.1;85.2;1399.3;512.4;13.4;14.4;93.6;35.0;37.9;92.5;11.7;18.0;64.8;0.00;0.01;0.03;-0.01;0.23;7.79;0.53;0.08;8.32;Matches;f7d50789
53;Steve Aldo One;cm CMR;DF;La Coruña;es La Liga;22;1995;1.0;18.0;22.0;81.8;354.0;169.0;5.00;6.00;83.3;10.0;12.0;83.3;3.00;4.00;75.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;a8599c17
