;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
162;Loïc Bade;fr FRA;DF;Lens;fr Ligue 1;20;2000;29.0;57.7;67.6;85.3;1187.2;411.7;15.6;17.6;88.8;34.3;37.6;91.4;7.14;11.0;64.7;0.00;0.01;0.02;-0.01;0.24;3.21;0.10;0.10;3.90;Matches;114bbdee
163;Milan Badelj;hr CRO;MF;Genoa;it Serie A;31;1989;26.8;48.3;59.6;81.1;878.1;298.1;22.3;25.1;88.6;18.4;21.8;84.1;6.79;9.74;69.7;0.15;0.10;0.06;0.05;1.08;5.56;0.93;0.07;6.34;Matches;e8c930bb
164;Édgar Badía;es ESP;GK;Elche;es La Liga;28;1992;30.0;28.8;38.3;75.2;832.6;631.9;5.13;5.17;99.4;12.8;13.2;97.2;10.2;19.3;52.9;0.00;0.00;0.00;0.00;0.00;0.43;0.00;0.00;0.03;Matches;e4346678
165;Benoît Badiashile;fr FRA;DF;Monaco;fr Ligue 1;19;2001;31.9;66.6;76.8;86.7;1370.5;501.8;17.7;19.8;89.6;39.7;42.8;92.8;8.59;12.9;66.5;0.03;0.04;0.04;-0.01;0.19;5.27;0.13;0.00;5.33;Matches;06df8256
166;Alex Baena;es ESP;MF;Villarreal;es La Liga;19;2001;1.5;28.7;37.3;76.8;410.0;74.7;14.7;16.0;91.7;13.3;16.7;80.0;0.00;1.33;0.0;0.00;0.07;0.07;-0.07;1.33;2.67;0.67;0.00;3.33;Matches;518f2234
167;Miguel Baeza;es ESP;MFFW;Celta Vigo;es La Liga;20;2000;6.0;28.2;35.3;79.7;427.0;90.2;16.5;18.8;87.6;7.67;9.83;78.0;2.67;3.50;76.2;0.00;0.12;0.08;-0.12;1.33;1.67;1.00;0.33;2.50;Matches;a98f3cbf
168;Stéphane Bahoken;cm CMR;FW;Angers;fr Ligue 1;28;1992;18.0;13.0;18.5;70.3;175.1;23.8;7.50;9.39;79.9;3.89;5.22;74.5;0.61;0.83;73.3;0.11;0.06;0.03;0.06;0.61;0.78;0.39;0.06;1.22;Matches;5046b7d4
169;Leon Bailey;jm JAM;FWMF;Leverkusen;de Bundesliga;22;1997;23.8;28.1;40.4;69.4;454.2;95.6;16.2;18.4;87.7;6.55;10.1;64.7;3.74;7.31;51.1;0.34;0.25;0.28;0.08;2.02;1.09;1.55;0.67;2.65;Matches;3a233281
170;Eric Bailly;ci CIV;DF;Manchester Utd;eng Premier League;26;1994;10.2;48.7;55.3;88.1;882.5;328.3;18.1;19.6;92.5;26.3;29.3;89.6;3.63;4.80;75.5;0.00;0.00;0.01;0.00;0.00;2.55;0.00;0.00;3.63;Matches;a1232f4e
171;Stefan Bajic;fr FRA;GK;Saint-Étienne;fr Ligue 1;18;2001;1.0;23.0;37.0;62.2;650.0;391.0;4.00;4.00;100.0;12.0;12.0;100.0;7.00;21.0;33.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;be13e5a8
172;Tiemoué Bakayoko;fr FRA;MF;Napoli;it Serie A;25;1994;21.8;49.5;56.3;87.9;803.0;204.3;24.0;27.1;88.8;20.3;21.3;95.1;3.76;4.72;79.6;0.05;0.04;0.05;0.01;0.55;3.99;0.37;0.00;4.54;Matches;59bf127b
173;Mitchel Bakker;nl NED;DF;Paris S-G;fr Ligue 1;20;2000;18.8;62.6;71.0;88.2;827.9;223.2;39.9;42.1;94.7;18.1;21.0;86.3;1.65;3.40;48.4;0.11;0.10;0.13;0.01;0.85;3.99;1.12;0.48;4.10;Matches;a8567629
174;Ridle Baku;de GER;FWDF;Wolfsburg;de Bundesliga;22;1998;29.8;36.7;49.8;73.8;585.1;171.5;19.3;22.4;86.1;14.5;19.3;75.1;2.25;4.56;49.3;0.23;0.14;0.17;0.10;1.48;2.08;1.64;0.57;3.49;Matches;442b56fa
175;Ridle Baku;de GER;DF;Mainz 05;de Bundesliga;22;1998;2.0;31.5;45.5;69.2;519.0;260.5;18.5;21.5;86.0;8.50;13.5;63.0;4.00;8.50;47.1;0.00;0.00;0.05;0.00;0.00;3.50;1.50;0.50;5.50;Matches;442b56fa
176;Dilane Bakwa;fr FRA;FWMF;Bordeaux;fr Ligue 1;17;2002;0.6;56.7;66.7;85.0;886.7;146.7;28.3;30.0;94.4;21.7;23.3;92.9;5.00;6.67;75.0;0.00;0.00;0.00;0.00;1.67;8.33;0.00;0.00;10.0;Matches;2b5a35e5
177;Fabián Balbuena;py PAR;DF;West Ham;eng Premier League;28;1991;13.3;27.2;36.7;74.2;584.2;247.7;7.89;9.55;82.7;15.0;16.9;88.4;4.14;8.95;46.2;0.00;0.00;0.01;0.00;0.00;2.26;0.08;0.00;2.26;Matches;3626f7d9
178;Keita Baldé;sn SEN;FW;Sampdoria;it Serie A;25;1995;13.3;17.3;23.7;73.0;233.1;39.5;10.2;12.7;79.9;5.56;7.22;77.1;0.53;1.35;38.9;0.08;0.18;0.10;-0.11;1.58;1.05;0.45;0.00;1.95;Matches;509a4ccb
179;George Baldock;gr GRE;DF;Sheffield Utd;eng Premier League;27;1993;31.0;28.6;37.2;77.0;384.1;120.7;18.8;20.9;90.0;7.39;9.84;75.1;1.16;3.16;36.7;0.06;0.09;0.06;-0.03;0.58;1.52;0.74;0.23;2.42;Matches;394854c4
180;Gareth Bale;wls WAL;FW;Tottenham;eng Premier League;31;1989;10.2;27.9;40.8;68.5;491.7;146.7;13.9;17.0;82.1;8.53;12.4;69.0;4.02;7.06;56.9;0.20;0.18;0.12;0.02;2.06;2.35;1.67;0.29;4.22;Matches;a58bb1e1
181;Mikel Balenziaga;es ESP;DF;Athletic Club;es La Liga;32;1988;18.8;38.0;50.6;75.2;606.9;194.8;19.1;21.6;88.7;15.3;19.7;77.6;2.45;5.53;44.2;0.05;0.04;0.04;0.01;0.43;2.29;0.53;0.48;2.77;Matches;1fe67e86
182;Leonardo Balerdi;ar ARG;DF;Marseille;fr Ligue 1;21;1999;18.2;50.6;58.5;86.6;937.3;323.5;18.8;20.8;90.7;26.2;28.8;90.9;4.78;7.09;67.4;0.00;0.00;0.01;0.00;0.05;2.25;0.00;0.00;2.64;Matches;7c3ed041
183;Fodé Ballo-Touré;sn SEN;DF;Monaco;fr Ligue 1;23;1997;7.4;47.2;58.4;80.8;725.1;209.3;26.8;30.0;89.2;15.8;18.9;83.6;3.24;5.68;57.1;0.41;0.09;0.09;0.31;1.08;3.38;1.49;0.95;3.24;Matches;f449640d
184;Botond Balogh;hu HUN;DF;Parma;it Serie A;18;2002;1.8;32.8;43.9;74.7;709.4;232.8;6.67;8.89;75.0;19.4;23.3;83.3;6.11;10.0;61.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.11;Matches;348bafd4
