;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
37;Joel Coleman;eng ENG;GK;Huddersfield;eng Premier League;22;1995;1;1;90;1.0;1.00;1.00;3.00;2.00;66.7;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;b73e459a
38;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;31;1987;36;36;3213;35.7;1.57;1.57;4.34;2.75;66.5;0.25;0.42;0.34;0.34;33.3;0.22;0.11;0.08;0.03;42.9;Matches;8cabdc1e
39;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;31;1987;37;37;3330;37.0;1.14;1.14;4.11;2.95;76.3;0.24;0.30;0.46;0.24;24.3;0.19;0.16;0.03;0.00;14.3;Matches;2434f24a
40;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;26;1992;27;27;2430;27.0;1.33;1.33;3.85;2.48;71.2;0.52;0.11;0.37;0.30;29.6;0.30;0.22;0.04;0.04;14.3;Matches;1840e36d
41;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;24;1994;38;38;3420;38.0;1.42;1.42;5.39;3.97;77.6;0.26;0.29;0.45;0.18;18.4;0.26;0.21;0.05;0.00;20.0;Matches;f554e29b
42;Iván Cuéllar;es ESP;GK;Leganés;es La Liga;34;1984;34;34;3056;33.9;1.12;1.12;3.39;2.30;68.7;0.29;0.35;0.35;0.27;26.5;0.06;0.06;0.00;0.00;0.0;Matches;75751c99
43;Abdoulaye Diallo;sn SEN;GK;Rennes;fr Ligue 1;26;1992;6;6;495;5.5;0.73;0.73;3.64;2.91;85.0;0.55;0.36;0.18;0.36;33.3;0.18;0.18;0.00;0.00;0.0;Matches;26383ea5
44;Javier Díaz;es ESP;GK;Sevilla;es La Liga;21;1997;1;1;90;1.0;1.00;1.00;2.00;1.00;100.0;0.00;0.00;1.00;0.00;0.0;1.00;1.00;0.00;0.00;0.0;Matches;17a1299d
45;Stole Dimitrievski;mk MKD;GK;Rayo Vallecano;es La Liga;24;1993;21;21;1890;21.0;1.67;1.67;4.52;2.81;69.5;0.24;0.19;0.57;0.14;14.3;0.33;0.29;0.05;0.00;14.3;Matches;fc70e345
46;Marko Dmitrovi?;rs SRB;GK;Eibar;es La Liga;26;1992;24;24;2160;24.0;1.25;1.25;3.58;2.29;68.6;0.38;0.25;0.38;0.21;20.8;0.17;0.13;0.04;0.00;25.0;Matches;ac295d9e
47;Jaume Doménech;es ESP;GK;Valencia;es La Liga;27;1990;4;4;360;4.0;0.25;0.25;3.25;3.00;92.3;0.50;0.50;0.00;0.75;75.0;0.00;0.00;0.00;0.00;;Matches;c9cb972b
48;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;19;1999;36;36;3092;34.3;0.90;0.90;3.67;2.77;77.8;0.52;0.32;0.20;0.32;30.6;0.12;0.09;0.03;0.00;25.0;Matches;08f5afaa
49;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;20;1997;3;2;225;2.5;0.80;0.80;3.20;2.40;75.0;0.00;0.40;0.40;0.40;50.0;0.00;0.00;0.00;0.00;;Matches;085e71a7
50;Bart?omiej Dr?gowski;pl POL;GK;Empoli;it Serie A;20;1997;14;14;1260;14.0;1.71;1.71;6.86;5.07;78.1;0.36;0.14;0.50;0.21;21.4;0.29;0.21;0.07;0.00;25.0;Matches;085e71a7
51;Jaroslav Drobný;cz CZE;GK;Düsseldorf;de Bundesliga;38;1979;2;2;180;2.0;1.50;1.50;4.50;3.00;66.7;0.50;0.00;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;e4a30d8c
52;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;29;1989;38;38;3420;38.0;1.26;1.26;3.68;2.45;70.0;0.32;0.24;0.45;0.29;28.9;0.16;0.16;0.00;0.00;0.0;Matches;3a949a25
53;Maxime Dupé;fr FRA;GK;Nantes;fr Ligue 1;25;1993;11;10;939;10.4;1.63;1.63;3.27;1.54;55.9;0.48;0.29;0.19;0.10;10.0;0.29;0.19;0.10;0.00;33.3;Matches;0e12089d
54;Ederson;br BRA;GK;Manchester City;eng Premier League;24;1993;38;38;3420;38.0;0.61;0.61;2.13;1.53;76.5;0.84;0.05;0.11;0.53;52.6;0.11;0.11;0.00;0.00;0.0;Matches;3bb7b8b4
55;Michael Esser;de GER;GK;Hannover 96;de Bundesliga;30;1987;32;32;2880;32.0;2.06;2.06;6.69;4.63;71.5;0.16;0.19;0.66;0.16;15.6;0.19;0.16;0.03;0.00;16.7;Matches;83e0eeb4
56;Neil Etheridge;ph PHI;GK;Cardiff City;eng Premier League;28;1990;38;38;3420;38.0;1.82;1.82;5.45;3.55;68.6;0.26;0.11;0.63;0.26;26.3;0.18;0.11;0.08;0.00;42.9;Matches;2642bf6c
57;?ukasz Fabia?ski;pl POL;GK;West Ham;eng Premier League;33;1985;38;38;3420;38.0;1.45;1.45;5.21;3.76;74.2;0.39;0.18;0.42;0.18;18.4;0.13;0.11;0.03;0.00;20.0;Matches;9328b835
58;Fabricio;es ESP;GK;Fulham;eng Premier League;30;1987;2;2;180;2.0;2.50;2.50;10.5;8.00;76.2;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;af245161
59;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;29;1988;17;16;1469;16.3;1.60;1.59;5.09;3.56;71.1;0.25;0.18;0.55;0.18;18.8;0.12;0.12;0.00;0.00;0.0;Matches;1e43fad8
60;Aitor Fernández;es ESP;GK;Levante;es La Liga;27;1991;16;16;1440;16.0;1.50;1.50;5.19;3.75;75.9;0.25;0.31;0.44;0.13;12.5;0.25;0.25;0.00;0.00;0.0;Matches;a01c3d54
